f1	f2
93.718	93.808
93.710	93.808
93.700	93.786
93.718	93.786
93.710	93.802
93.704	93.802
93.718	93.802
93.704	93.802
93.700	93.802
93.702	93.802
93.704	93.798
93.706	93.798
93.702	93.798
93.704	93.798
93.700	93.790
93.696	93.790
93.690	93.784
93.638	93.734
93.650	93.734
93.652	93.738
93.654	93.738
93.654	93.746
93.628	93.740
93.622	93.708
93.614	93.710
93.616	93.710
93.602	93.710
93.596	93.710
93.582	93.678
93.560	93.644
93.582	93.660
93.598	93.660
93.596	93.660
93.594	93.660
93.594	93.660
93.596	93.660
93.604	93.686
93.604	93.686
93.602	93.686
93.594	93.686
93.596	93.686
93.596	93.686
93.608	93.688
93.602	93.688
93.602	93.688
93.606	93.688
93.608	93.688
93.610	93.688
93.606	93.702
93.614	93.702
93.612	93.702
93.620	93.710
93.634	93.724
93.622	93.738
93.624	93.724
93.628	93.724
93.622	93.724
93.620	93.724
93.596	93.692
93.592	93.688
93.600	93.692
93.574	93.648
93.520	93.618
93.504	93.612
93.526	93.622
93.526	93.622
93.530	93.622
93.540	93.636
93.540	93.636
93.550	93.638
93.548	93.638
93.552	93.648
93.554	93.648
93.570	93.648
93.564	93.648
93.554	93.656
93.562	93.650
93.560	93.668
93.558	93.668
93.562	93.668
93.576	93.668
93.564	93.668
93.570	93.666
93.566	93.680
93.560	93.654
93.556	93.656
93.546	93.640
93.548	93.640
93.556	93.640
93.552	93.640
93.554	93.640
93.554	93.640
93.556	93.640
93.552	93.640
93.554	93.644
93.556	93.644
93.556	93.644
93.556	93.644
93.554	93.644
93.554	93.644
93.552	93.644
93.554	93.646
93.556	93.646
93.570	93.670
93.576	93.664
93.574	93.664
93.568	93.664
93.570	93.664
93.568	93.664
93.566	93.664
93.568	93.664
93.570	93.664
93.568	93.664
93.566	93.664
93.568	93.668
93.568	93.668
93.566	93.668
93.560	93.668
93.562	93.668
93.554	93.668
93.538	93.650
93.534	93.650
93.532	93.650
93.530	93.650
93.540	93.650
93.544	93.650
93.542	93.650
93.544	93.642
93.556	93.642
93.546	93.642
93.542	93.642
93.540	93.642
93.532	93.642
93.532	93.628
93.532	93.628
93.536	93.628
93.548	93.628
93.548	93.650
93.544	93.650
93.542	93.650
93.546	93.638
93.546	93.638
93.548	93.634
93.550	93.636
93.540	93.636
93.542	93.626
93.540	93.626
93.540	93.626
93.538	93.626
93.528	93.614
93.524	93.614
93.512	93.614
93.512	93.600
93.502	93.600
93.510	93.616
93.526	93.616
93.526	93.628
93.510	93.628
93.522	93.628
93.524	93.628
93.526	93.628
93.522	93.628
93.526	93.628
93.528	93.628
93.524	93.628
93.524	93.628
93.512	93.628
93.520	93.628
93.522	93.628
93.524	93.628
93.526	93.628
93.524	93.628
93.526	93.628
93.530	93.628
93.594	93.700
93.598	93.704
93.574	93.704
93.610	93.688
93.606	93.688
93.588	93.692
93.600	93.710
93.602	93.710
93.598	93.710
93.592	93.710
93.590	93.710
93.590	93.710
93.590	93.710
93.586	93.710
93.582	93.710
93.596	93.688
93.592	93.688
93.592	93.688
93.592	93.688
93.590	93.688
93.584	93.688
93.596	93.688
93.598	93.688
93.594	93.706
93.634	93.726
93.632	93.738
93.672	93.760
93.694	93.800
93.666	93.784
93.690	93.800
93.680	93.800
93.670	93.782
93.656	93.778
93.624	93.750
93.650	93.768
93.630	93.762
93.640	93.762
93.636	93.762
93.636	93.760
93.642	93.758
93.648	93.758
93.668	93.778
93.666	93.778
93.678	93.778
93.662	93.778
93.668	93.778
93.654	93.778
93.658	93.772
93.662	93.772
93.664	93.772
93.664	93.772
93.658	93.772
93.658	93.772
93.666	93.772
93.670	93.772
93.664	93.772
93.674	93.772
93.666	93.784
93.672	93.784
93.672	93.784
93.670	93.784
93.670	93.784
